5,16
59,60
60,68
86,87
7,16
29,31
45,53
79,84
55,62
72,78
6,9
42,49
83,84
16,17
37,44
51,58
60,61
68,74
75,80
2,5
64,70
8,9
52,59
27,39
13,14
83,86
69,75
57,64
38,39
8,11
20,25
32,38
67,68
39,45
53,60
18,41
62,63
72,73
70,76
76,80
81,85
14,15
26,29
21,26
35,42
44,50
49,56
58,59
59,66
66,72
77,81
11,12
4,6
18,23
41,47
2,17
27,30
36,43
64,65
39,40
34,37
35,36
40,41
50,57
22,27
60,67
69,70
11,13
46,54
36,37
20,21
56,63
23,40
65,66
45,52
70,71
73,79
0,4
79,83
17,18
9,15
21,22
42,48
66,67
28,31
25,28
45,46
76,77
67,74
62,69
1,5
42,43
26,27
63,70
22,23
43,49
51,59
77,78
40,46
54,61
64,71
30,38
32,37
73,74
71,77
82,86
15,16
78,82
31,33
43,44
51,52
5,7
4,5
16,22
32,34
85,86
48,56
65,72
76,81
0,1
77,82
7,15
24,25
17,23
61,68
80,81
26,30
35,43
49,57
75,76
72,77
5,17
23,27
46,53
71,72
48,49
73,78
84,87
7,9
0,3
29,32
9,14
49,50
55,63
81,82
50,58
46,47
11,14
47,54
56,64
82,83
74,79
23,41
67,73
8,10
1,4
15,21
38,45
52,60
24,28
27,40
55,56
63,69
50,51
70,75
78,79
21,25
83,87
3,4
30,32
56,57
71,76
82,85
52,53
34,36
39,46
31,32
53,61
43,50
28,29
66,73
44,51
22,26
16,21
40,47
59,67
30,39
48,55
57,58
65,71
4,7
33,34
2,18
36,44
29,30
10,11
53,54
17,22
63,64
78,83
31,34
12,13
6,7
8,14
10,19
11,19
12,19
