0	7
1	1
2	1
3	7
4	7
5	7
6	7
7	7
8	7
9	7
10	7
11	1
12	1
13	7
14	7
15	7
16	7
17	7
18	7
19	1
20	1
21	7
22	7
23	7
24	7
25	7
26	7
27	7
28	6
29	7
30	1
31	1
32	7
33	7
34	7
35	7
36	7
37	6
38	7
39	1
40	7
41	7
42	7
43	7
44	7
45	7
46	7
47	7
48	7
49	1
50	8
51	7
52	7
53	7
54	7
55	6
56	7
57	7
58	1
59	7
60	7
61	7
62	7
63	7
64	7
65	7
66	7
67	7
68	7
69	1
70	7
71	7
72	7
73	7
74	7
75	7
76	7
77	8
78	7
79	1
80	7
81	7
82	7
83	6
84	6
85	8
86	7
87	8
88	7
89	1
90	7
91	7
92	7
93	7
94	6
95	8
96	3
97	7
98	8
99	7
100	1
101	7
102	7
103	7
104	7
105	7
106	6
107	8
108	7
109	7
110	7
111	1
112	7
113	7
114	7
115	7
116	6
117	6
118	8
119	7
120	7
121	7
122	1
123	7
124	7
125	7
126	7
127	7
128	6
129	6
130	8
131	3
132	7
133	7
134	7
135	7
136	7
137	7
138	6
139	6
140	8
141	3
142	7
143	7
144	7
145	3
146	7
147	7
148	7
149	6
150	8
151	3
152	7
153	7
154	3
155	7
156	7
157	7
158	6
159	8
160	3
161	7
162	7
163	1
164	8
165	7
166	7
167	7
168	7
169	3
170	7
171	7
172	1
173	7
174	1
175	7
176	7
177	7
178	7
179	3
180	7
181	7
182	1
183	7
184	7
185	7
186	7
187	8
188	3
189	7
190	7
191	1
192	7
193	7
194	1
195	1
196	7
197	7
198	7
199	3
200	7
201	7
202	1
203	7
204	7
205	1
206	1
207	7
208	7
209	7
210	7
211	7
212	7
213	7
214	7
215	8
216	7
217	7
218	8
219	7
220	7
221	7
222	7
223	1
224	8
225	7
226	7
227	7
228	7
229	7
230	7
231	1
232	8
233	7
234	7
235	7
236	7
237	7
238	7
239	8
240	7
241	7
242	7
243	3
244	3
245	3
246	3
247	1
248	1
249	1
250	7
251	8
252	7
253	7
254	3
255	3
256	1
257	7
258	8
259	7
260	7
261	3
262	3
263	3
264	1
265	7
266	7
267	8
268	7
269	3
270	3
271	3
272	1
273	7
274	1
275	7
276	6
277	7
278	3
279	3
280	3
281	1
282	7
283	1
284	7
285	7
286	7
287	3
288	3
289	3
290	1
291	1
292	1
293	7
294	1
295	7
296	7
297	8
298	3
299	3
300	1
301	1
302	1
303	7
304	1
305	7
306	7
307	7
308	7
309	3
310	3
311	3
312	1
313	1
314	1
315	1
316	7
317	7
318	6
319	6
320	7
321	7
322	7
323	1
324	6
325	7
326	7
327	7
328	7
329	7
330	7
331	7
332	7
333	7
334	7
335	3
336	7
337	7
338	7
339	7
340	7
341	3
342	7
343	7
344	7
345	6
346	7
347	7
348	7
349	7
350	7
351	7
352	6
353	7
354	7
355	7
356	7
357	7
358	6
359	6
360	7
361	7
362	1
363	6
364	7
365	8
366	7
367	7
368	7
369	8
370	8
371	7
372	8
373	1
374	3
375	1
376	7
377	1
378	7
379	7
380	6
381	6
382	7
383	1
384	6
385	1
386	7
387	7
388	3
389	7
390	7
391	7
392	7
393	7
394	7
395	7
396	7
397	7
398	3
399	6
400	7
401	7
402	7
403	7
404	7
405	7
406	7
407	7
408	1
409	7
410	6
411	7
412	7
413	1
414	7
415	7
416	7
417	7
418	7
419	1
420	7
421	7
422	7
423	0
424	0
425	2
426	5
427	2
428	4
429	2
430	5
