-8.571,54.835
-1.875,55.447
9.337,54.14
-10.958,51.66
-2.483,51.976
3.954,51.837
-4.805,48.39
3.002,48.403
-3.399,43.207
-0.602,45.86
-9.806,39.447
-3.923,40.731
-6.012,37.534
-7.912,33.785
-2.531,34.116
-0.332,38.758
2.106,42.302
4.819,44.723
7.852,47.994
11.25,51.086
15.163,54.14
8.202,40.944
11.25,44.51
14.648,47.994
18.546,51.837
12.75,37.022
13.798,41.444
17.681,44.723
21.498,48.403
17.07,39.666
20.394,41.302
24.102,44.86
22.832,37.758
26.423,41.231
25.031,35.116
28.512,37.534
35.699,33.275
34.064,37.129
32.306,40.947
29.399,45.207
28.305,48.39
25.983,51.976
23.375,55.447
40.896,32.525
39.507,36.463
38.077,40.377
35.064,48.002
33.458,51.66
30.071,55.835
46.007,31.552
44.82,35.549
43.703,39.535
42.675,43.442
41.758,47.21
39.58,51.566
36.986,55.818
50.003,34.401
49.162,38.437
48.652,42.301
47.316,46.725
45.797,51.064
43.942,55.373
54.489,37.066
