Family ID,Individual ID
86,I1895.AG
88,I1905.AG
89,I1907.AG
117,I1889.AG
119,I1891.AG
124,I1901.AG
125,I1903.AG
126,I1906.AG
127,I1908.AG
128,I1909.AG
133,I1972.AG
149,I2509.AG
153,I2519.AG
157,I2532.AG
158,I2533.AG
159,I2534.AG
208,I2739.AG
219,I2783.AG
222,I2788.AG
223,I2789.AG
224,I2790.AG
225,I2791.AG
226,I2793.AG
249,I3005.AG
255,I3035.AG
264,I3068.AG
322,I3433.AG
334,I3498.AG
375,I3715.AG
377,I3717.AG
409,I3947.AG
410,I3948.AG
432,I4088.AG
433,I4089.AG
436,I4111.AG
438,I4114.AG
449,I4184.AG
454,I4189.AG
455,I4196.AG
475,I4303.AG
490,I4351.AG
509,I5207.AG
510,I5208.AG
514,I5359.AG
517,I5366.AG
534,I5401.AG
535,I5402.AG
537,I5407.AG
538,I5408.AG
540,I5411.AG
541,I5427.AG
646,I0018.AG
647,I0025.AG
651,I0046.AG
653,I0054.AG
660,I0100.AG
678,I0406.AG
679,I0408.AG
680,I0410.AG
681,I0412.AG
682,I0413.AG
701,I0659.AG
702,I0698.AG
703,I0700.AG
707,I0723_enhanced.AG
712,I0854_enhanced.AG
734,I10045.AG
735,I10046.AG
736,I10047.AG
737,I10048.AG
738,I10049.AG
739,I10050.AG
741,I10053.AG
742,I10054.AG
743,I10055.AG
744,I10056.AG
745,I10057.AG
747,I10061.AG
748,I10062.AG
749,I10063.AG
750,I10064.AG
751,I10065.AG
753,I10068.AG
754,I10069.AG
756,I10070.AG
757,I10071.AG
758,I10072.AG
791,I10271.AG
792,I10272.AG
793,I10273.AG
807,I10293.AG
808,I10294.AG
810,I10297.AG
811,I10299.AG
812,I10303.AG
819,I10349.AG
820,I10350.AG
821,I10351.AG
822,I10352.AG
823,I10353.AG
837,I10942.AG
849,I1108.AG
874,I1160.AG
875,I1166.AG
876,I1169.AG
898,I1550.AG
900,I1565.AG
902,I1579_enhanced.AG
903,I1580.AG
904,I1581.AG
906,I1585_enhanced.AG
907,I1593.AG
908,I1661.AG
934,I1877.AG
935,I1878.AG
937,I1880.AG
942,I1904.AG
1002,I2199.AG
1029,I2318.AG
1030,I2323.AG
1033,I2337.AG
1053,I2376.AG
1054,I2377.AG
1056,I2379.AG
1057,I2380.AG
1060,I2384.AG
1072,I2423.AG
1073,I2424.AG
1077,I2427.AG
1078,I2430.AG
1079,I2431.AG
1109,I2521.AG
1110,I2526.AG
1112,I2529.AG
1146,I2794.AG
1159,I2937.AG
1213,I3708.AG
1214,I3709.AG
1215,I3718.AG
1239,I3920.AG
1250,I4062.AG
1251,I4063.AG
1252,I4065.AG
1276,I4241.AG
1289,I4304.AG
1290,I4305.AG
1294,I4349.AG
1342,I4582.AG
1384,I4870.AG
1387,I4873.AG
1388,I4874.AG
1389,I4875.AG
1390,I4876.AG
1391,I4877.AG
1392,I4878.AG
1393,I4880.AG
1394,I4881.AG
1395,I4882.AG
1405,I4893.AG
1406,I4894.AG
1412,I4914.AG
1413,I4915.AG
1414,I4916.AG
1415,I4917.AG
1416,I4918.AG
1424,I4971.AG
1444,I5068.AG
1445,I5069.AG
1446,I5071.AG
1447,I5072.AG
1451,I5077.AG
1452,I5078.AG
1459,I5205.AG
1460,I5206.AG
1461,I5232.AG
1462,I5233.AG
1557,I5875.AG
1558,I5876.AG
1569,I5890.AG
1584,I6174.AG
1680,I6677.AG
1699,I6746.AG
1700,I6747.AG
1702,I6750.AG
1703,I6751.AG
1706,I6755.AG
1707,I6757.AG
1708,I6759.AG
1709,I6760.AG
1710,I6761.AG
1711,I6762.AG
1784,I7042.AG
1797,I7126.AG
1798,I7127.AG
1799,I7128.AG
1800,I7129.AG
1801,I7130.AG
1802,I7131.AG
1803,I7132.AG
1804,I7133.AG
1805,I7134.AG
1806,I7135.AG
1807,I7136.AG
1808,I7137.AG
1821,I7186.AG
1822,I7187.AG
1823,I7188.AG
1824,I7189.AG
1825,I7191.AG
1826,I7192.AG
1827,I7193.AG
1828,I7194.AG
1831,I7197.AG
1890,I7399.AG
1920,I7550.AG
2001,I7869.AG
2003,I7893.AG
2004,I7894.AG
2006,I7896.AG
2015,I7951.AG
2016,I7952.AG
2056,I8116.AG
2221,I0022.AG
2222,I0026.AG
2239,I0124.AG
2263,I0407.AG
2264,I0409.AG
2275,I0449.AG
2296,I0633.AG
2297,I0634.AG
2298,I0644.AG
2299,I0676.AG
2300,I0707.AG
2301,I0708.AG
2302,I0709.AG
2307,I0736.AG
2308,I0739.AG
2309,I0744.AG
2310,I0745.AG
2311,I0746.AG
2324,I0781.AG
2340,I0843.AG
2341,I0867.AG
2383,I1096.AG
2384,I1097.AG
2385,I1098.AG
2386,I1099.AG
2387,I1100.AG
2388,I1101.AG
2389,I1102.AG
2390,I1103.AG
2398,I1131.AG
2399,I1152.AG
2401,I1164.AG
2402,I1165.AG
2403,I1168.AG
2404,I1170.AG
2408,I1178.AG
2409,I1179.AG
2412,I1182.AG
2413,I1184.AG
2449,I1407.AG
2454,I1495.AG
2457,I1498.AG
2458,I1499.AG
2459,I1500.AG
2462,I1505.AG
2463,I1506.AG
2465,I1508.AG
2479,I1631.AG
2480,I1632.AG
2482,I1634.AG
2492,I1662.AG
2493,I1665.AG
2495,I1671.AG
2496,I1674.AG
2505,I1732.AG
2507,I1736.AG
2508,I1738.AG
2767,R10.SG
2823,R2.SG
2833,R3.SG
2889,R9.SG
3189,BRZ002.AG
3202,HOL001.AG
3235,KOB002.AG
3262,NER001.AG
3313,TUC007.AG
3314,VLI004.AG
3368,SB379D2_lib.AG.SG
3374,SB573A_lib.AG.SG
3376,SB603A_lib.AG.SG
3500,ASH1.SG
3501,ASH3.SG
3502,BG72.SG
3509,CH448.SG
3512,JP14.SG
3513,KGH6.SG
3521,PB357.SG
3522,PB443.SG
3527,PB768.SG
3528,PN02.SG
3529,PN03.SG
3530,PN04.SG
3531,PN05.SG
3532,PN06.SG
3534,PN107.SG
3535,PN10_PN113.SG
3536,PN112.SG
3540,SRA62.SG
3543,DER002.AG
3544,DER003.AG
3546,DER005.AG
3547,DER006.AG
3548,DER007.AG
3550,DER009.AG
3551,DER010.AG
3552,DER011.AG
3553,DER012.AG
3554,DER013.AG
3555,DER014.AG
3556,DER015.AG
3558,DER018.AG
3561,DER021.AG
3562,DER022.AG
3563,DER023.AG
3564,DER024.AG
3565,DER026.AG
3566,DER028.AG
3570,DER032.AG
3571,DER033.AG
3572,DER034.AG
3573,DER035.AG
3574,DER036.AG
3897,BAJ001_BAJ001.A0101.AG
3916,N18.SG
3917,N19.SG
3918,N20.SG
3919,N22.SG
3920,N25.SG
3921,N26.SG
3922,N27.SG
3923,N28.SG
3924,N31.SG
3925,N36.SG
3927,N42.SG
4077,TU877_SX11.AG
4085,TU915_SX29.AG
4086,TU916_SX30.AG
4088,TU919_SX33.AG
4090,TU875_SX9.AG
4099,VERT015.SG
4100,VERT030.SG
4101,VERT035.SG
4102,VERT100B.SG
4104,VERT104B.SG
4145,Canes.SG
4148,M95.SG
4149,M96.SG
4263,Syltholm1.SG
5076,LON003.AG
5081,MA79.AG
5124,SUC008.AG
5824,VM-33.SG
5838,DolmenAnsiao96B.SG
5839,LugarCanto41.SG
5840,LugarCanto42.SG
5841,LugarCanto44.SG
6237,VO1004.AG
6243,BDB001.AG
6246,FLR001.AG
6247,FLR002.AG
6248,FLR003.AG
6249,FLR004.AG
6250,FLR005.AG
6251,FLR007.AG
6254,FLR014.AG
6255,GRG003.AG
6256,GRG008.AG
6257,GRG015.AG
6258,GRG016.AG
6259,GRG018.AG
6260,GRG019.AG
6261,GRG021.AG
6262,GRG022.AG
6263,GRG023.AG
6264,GRG025.AG
6265,GRG027.AG
6266,GRG028.AG
6267,GRG032.AG
6268,GRG035.AG
6269,GRG041.AG
6270,GRG043.AG
6271,GRG047.AG
6273,GRG050.AG
6274,GRG052.AG
6275,GRG056.AG
6276,GRG057.AG
6284,LBR001.AG
6285,LBR002.AG
6286,LBR003.AG
6287,LBR004.AG
6288,LBR005.AG
6289,OBN001.AG
6290,OBN002.AG
6291,OBN003.AG
6292,OBN004.AG
6293,OBN005.AG
6294,OBN006.AG
6295,OBN007.AG
6296,OBN008.AG
6297,OBN009.AG
6298,OBN010.AG
6299,OBN011.AG
6300,PEN001_real1.AG
6301,PEN001_real2.AG
6302,PEN003.AG
6303,PRI001.AG
6305,PRI006.AG
6310,SCH010.AG
6312,SCH014.AG
6314,SCH016.AG
6316,SMH004.AG
6319,XN164.AG
6320,XN165.AG
6321,XN166.AG
6322,XN167.AG
6323,XN168.AG
6324,XN169.AG
6325,XN170.AG
6326,XN171.AG
6327,XN172.AG
6330,XN175.AG
6490,kol6.SG
6494,prs002.SG
6499,prs016.SG
6514,TRPTN_613.SG
6701,ART005.AG
6720,ART042.AG
6722,CBT002.AG
6724,CBT004.AG
6726,CBT010.AG
6727,CBT011.AG
6728,CBT013.AG
6729,CBT014.AG
6730,CBT015.AG
6731,CBT016.AG
6732,CBT017.AG
6733,CBT018.AG
6766,KRD003.AG
6776,ALX002.AG
6777,MTT001.AG
6778,POT002.AG
7091,CHA003_merged.AG
7094,ELT002_merged.AG
7095,ELT006_merged.AG
7096,FUC003_merged.AG
7100,AY2003.AG
7108,I2056.AG
7111,I6268.AG
7125,OSS001.AG
7126,PG2001.AG
7128,PG2004.AG
7143,VJ1001.AG
7347,UZZ4446.AG
7352,UZZ069.AG
7353,UZZ071.AG
7355,UZZ075.AG
7357,UZZ079.AG
7358,UZZ080.AG
7359,UZZ081.AG
7360,UZZ082.AG
7362,UZZ088.AG
7530,Bar31.SG
7531,Bar8.SG
7532,Klei10.SG
7533,Pal7.SG
7534,Rev5.SG
7562,KO1.SG
7564,NE1.SG
7569,NE6.SG
7570,NE7.SG
7583,CB13.SG
7591,ANI163.AG
7596,ANI159-ANI181.AG
7671,I4064.AG
7709,I10542.AG
7711,I10545.AG
7713,I10547.AG
7761,I11134.AG
7762,I11135.AG
7980,I12440.AG
8269,I13838.AG
8271,I13840.AG
8294,I13888.AG
8295,I13889.AG
8296,I13892.AG
8342,I14157.AG
8343,I14159.AG
8344,I14160.AG
8345,I14161.AG
8346,I14162.AG
8347,I14163.AG
8348,I14164.AG
8349,I14165.AG
8350,I14166.AG
8351,I14167.AG
8352,I14168.AG
8353,I14169.AG
8354,I14170.AG
8355,I14171.AG
8356,I14172.AG
8357,I14173.AG
8358,I14174.AG
8359,I14175.AG
8360,I14176.AG
8362,I14178.AG
8363,I14179.AG
